Project#,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020,UHawaii 2020
Lab#,T0054-001,T0054-002,T0054-003,T0054-004,T0054-005,T0054-006,T0054-007,T0054-008,T0054-009,T0054-010,T0054-011,T0054-012,T0054-013,T0054-014,T0054-015,T0054-016,T0054-017,T0054-018,T0054-019,T0054-020,T0054-021,T0054-022,T0054-023,T0054-024,T0054-025,T0054-026,T0054-027,T0054-028,T0054-029,T0054-030,T0054-031,T0054-032,T0054-033,T0054-034,T0054-035,T0054-036,T0054-037,T0054-038,T0054-039,T0054-040,T0054-041,T0054-042,T0054-043,T0054-044,T0054-045,T0054-046,T0054-047,T0054-048,T0054-049,T0054-050,T0054-051,T0054-052,T0054-053,T0054-054,T0054-055,T0054-056,T0054-057,T0054-058,T0054-059,T0054-060,T0054-061,T0054-062,T0054-063,T0054-064,T0054-065,T0054-066,T0054-067,T0054-068,T0054-069,T0054-070,T0054-071,T0054-072,T0054-073,T0054-074,T0054-075,T0054-076,T0054-077,T0054-078,T0054-079,T0054-080,T0054-081,T0054-082,T0054-083,T0054-084,T0054-085,T0054-086,T0054-087,T0054-088,T0054-089,T0054-090,T0054-091,T0054-092,T0054-093,T0054-094,T0054-095,T0054-096,T0054-097,T0054-098,T0054-099,T0054-100,T0054-101,T0054-102,T0054-103,T0054-104,T0054-105,T0054-106,T0054-107,T0054-108,T0054-109,T0054-110,T0054-111,T0054-112,T0054-113,T0054-114,T0054-115,T0054-116,T0054-117,T0054-118,T0054-119,T0054-120,T0054-121,T0054-122,T0054-123,T0054-124,T0054-125,T0054-126,T0054-127,T0054-128,T0054-129,T0054-130,T0054-131,T0054-132,T0054-133,T0054-134,T0054-135,T0054-136
SampleType,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue,Tissue
Laboratory ID,HMB0001,HMB0002,HMB0003,HMB0004,HMB0005,HMB0006,HMB0007,HMB0008,HMB0009,HMB0010,HMB0011,HMB0012,HMB0013,HMB0014,HMB0015,HMB0016,HMB0017,HMB0018,HMB0019,HMB0020,HMB0021,HMB0022,HMB0023,HMB0024,HMB0025,HMB0026,HMB0027,HMB0028,HMB0029,HMB0030,HMB0031,HMB0032,HMB0033,HMB0034,HMB0035,HMB0036,HMB0037,HMB0038,HMB0039,HMB0040,HMB0041,HMB0042,HMB0043,HMB0044,HMB0045,HMB0046,HMB0047,HMB0048,HMB0049,HMB0050,HMB0051,HMB0052,HMB0053,HMB0054,HMB0055,HMB0056,HMB0057,HMB0058,HMB0059,HMB0060,HMB0061,HMB0062,HMB0063,HMB0064,HMB0065,HMB0066,HMB0067,HMB0068,HMB0069,HMB0070,HMB0071,HMB0072,HMB0073,HMB0074,HMB0075,HMB0076,HMB0077,HMB0078,HMB0079,HMB0080,HMB0081,HMB0082,HMB0083,HMB0084,HMB0085,HMB0086,HMB0087,HMB0088,HMB0089,HMB0090,HMB0091,HMB0092,HMB0093,HMB0094,HMB0095,HMB0096,HMB0097,HMB0098,HMB0099,HMB0100,HMB0101,HMB0102,HMB0103,HMB0104,HMB0105,HMB0106,HMB0107,HMB0108,HMB0109,HMB0110,HMB0111,HMB0112,HMB0113,HMB0114,HMB0115,HMB0116,HMB0117,HMB0118,HMB0119,HMB0120,HMB0121,HMB0122,HMB0123,HMB0124,HMB0125,HMB0126,HMB0127,HMB0128,HMB0129,HMB0130,HMB0131,HMB0132,HMB0133,HMB0134,HMB0135,HMB0136
Sample ID,KWKAPE-1,KWKAPE-2,KWKAPE-3,KWTHAL-1,MCELBI-2,MCKAPE-1,MCKAPE-2,MCKAPE-3,MCKAPE-4,MATHAL-1,MATHAL-2,MATHAL-4,MATHAL-5,MATHAL-8A,UTTHAL-1A,UTTHAL-2A,UTTHAL-3A,UTTHAL-4A,ROGYUN-1A,EBCHSO-1,EBVALO-2,EBVALO-3,JAEPPO-1,KWCHSO-1,UTCHSO-1,UTEPPO-1,WOCHSO-2,WOEPPO-1,JALUGI-4,JALUGI-5,KWLUGI-1,KWLUGI-2,KWEPPO-1,KWEPPO-2,EBNALI-1,EBCHMI-2,MCLUGI-8,UTEPPO-5,UTEPPO-7,WOLUGI-1,WOEPPO-2,MALUGI-2,MALUGI-4,MANALI-2,MAEPPO-2,MACHSO-1,MACHSO-3,MAACTR-1,MAACTR-3,MAACTR-4,ROLUGI-3,ROVALO-5,ROCHSO-3,UTNALI-5,JANALI-1,JANALI-2,JANALI-4,KWLUGI-5,KWCHSO-5,EBLUGI-3,EBLUGI-5,EBLUGI-6,EBVALO-1,MCLUGI-3,WOLUGI-3,WOCHSO-6,MCEPPO-3,MCEPPO-5,ROVALO-3,UTSASP-7,UTNALI-4,JAEPPO-4,EBLUGI-10,EBNALI-3,UTCHSO-3,UTACTR-6,UTACTR-9,WOLUGI-2,WONALI-1,WONALI-3,MALUGI-1,MANALI-4,MAEPPO-5,MACHSO-4,RONALI-1,RONALI-2,ROACTR-10,ROACTR-8,UTLUGI-1,UTNALI-1,WOACTR-1,JAGYUN-1,JAGYUN-2,JATHAL-3,JATHAL-2,JATHAL-1,MCLUGI-2,JACHMI-2,KWEPPO-3,KWNALI-5,KWNALI-6,EBPLLA-1,EBCHMI-1 ,MCLUGI-5,WOACTR-1,JALUGI-6,JAEPPO-10,JAACLI-7,JAACLI-8,JAACLI-9,KWCHSO-3,KWNALI-2,EBNALI-2,MCLUGI-9,UTCHSO-2,UTACTR-7,WONALI-6,WOEPPO-3,WOCHSO-3,WOACTR-4,ROLUGI-1,ROLUGI-5,RONALI-10,ROCHSO-2,ROCHSO-8,ROACTR-7,UTLUGI-2,JACHMI-6,JAHILO-2,MCEPPO-1,MANALI-1,MAEPPO-1,EBLUBO-1,EBCHSO-2,MCEPPO-2,ROEPPO-1
Species,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Thunnus albacares,Elagatis bipinnulata,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Gymnosarda unicolor,Chlorurus sordidus,Variola louti,Variola louti,Epinephelus polyphekadion,Chlorurus sordidus,Chlorurus sordidus,Epinephelus polyphekadion,Chlorurus sordidus,Epinephelus polyphekadion,Lutjanus gibbus,Lutjanus gibbus,Lutjanus gibbus,Lutjanus gibbus,Epinephelus polyphekadion,Epinephelus polyphekadion,Naso lituratus,Chlorurus microrhinos,Lutjanus gibbus,Epinephelus polyphekadion,Epinephelus polyphekadion,Lutjanus gibbus,Epinephelus polyphekadion,Lutjanus gibbus,Lutjanus gibbus,Naso lituratus,Epinephelus polyphekadion,Chlorurus sordidus,Chlorurus sordidus,Acanthurus triostegus,Acanthurus triostegus,Acanthurus triostegus,Lutjanus gibbus,Variola louti,Chlorurus sordidus,Naso lituratus,Naso lituratus,Naso lituratus,Naso lituratus,Lutjanus gibbus,Chlorurus sordidus,Lutjanus gibbus,Lutjanus gibbus,Lutjanus gibbus,Variola louti,Lutjanus gibbus,Lutjanus gibbus,Chlorurus sordidus,Epinephelus polyphekadion,Epinephelus polyphekadion,Variola louti,Sargocentron spiniferum,Naso lituratus,Epinephelus polyphekadion,Lutjanus gibbus,Naso lituratus,Chlorurus sordidus,Acanthurus triostegus,Acanthurus triostegus,Lutjanus gibbus,Naso lituratus,Naso lituratus,Lutjanus gibbus,Naso lituratus,Epinephelus polyphekadion,Chlorurus sordidus,Naso lituratus,Naso lituratus,Acanthurus triostegus,Acanthurus triostegus,Lutjanus gibbus,Naso lituratus,Acanthurus triostegus,Gymnosarda unicolor,Gymnosarda unicolor,Thunnus albacares,Thunnus albacares,Thunnus albacares,Lutjanus gibbus,Chlorurus microrhinos,Epinephelus polyphekadion,Naso lituratus,Naso lituratus,Plectropomus laevis,Chlorurus microrhinos,Lutjanus gibbus,Acanthurus triostegus,Lutjanus gibbus,Epinephelus polyphekadion,Acanthurus lineatus,Acanthurus lineatus,Acanthurus lineatus,Chlorurus sordidus,Naso lituratus,Naso lituratus,Lutjanus gibbus,Chlorurus sordidus,Acanthurus triostegus,Naso lituratus,Epinephelus polyphekadion,Chlorurus sordidus,Acanthurus triostegus,Lutjanus gibbus,Lutjanus gibbus,Naso lituratus,Chlorurus sordidus,Chlorurus sordidus,Acanthurus triostegus,Lutjanus gibbus,Chlorurus microrhinos,Hipposcarus longiceps,Epinephelus polyphekadion,Naso lituratus,Epinephelus polyphekadion,Lutjanus bohar,Chlorurus sordidus,Epinephelus polyphekadion,Epinephelus polyphekadion
Worksheet Group Number,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9843,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9844,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9845,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9847,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849,9849
TestID,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg,Hg
conc,0.222,0.602,0.441,0.188,0.182,0.196,0.111,0.175,0.078,0.185,0.241,0.191,0.179,0.221,0.215,0.183,0.248,0.285,2.505,0.027,0.399,0.338,0.546,0.016,0.014,0.306,0.009,0.583,0.305,0.173,0.153,0.200,0.251,0.396,0.022,0.021,0.421,0.347,0.708,0.146,0.309,0.404,0.356,0.007,0.318,0.021,0.017,0.019,0.008,0.010,0.195,0.134,0.012,0.011,0.006,0.027,0.005,0.092,0.014,0.258,0.489,0.297,0.682,0.573,0.233,0.019,0.493,0.320,0.173,0.210,0.019,0.300,0.262,0.039,0.019,0.004,0.008,0.323,0.014,0.007,0.523,0.011,0.338,0.017,0.017,0.014,0.006,0.005,0.059,0.008,0.006,0.860,6.446,0.171,0.226,0.260,0.554,0.026,0.305,0.004,0.004,0.492,0.048,0.569,0.009,0.259,0.682,0.015,0.009,0.006,0.022,0.011,0.019,0.481,0.006,0.007,0.008,0.327,0.020,0.006,0.039,0.089,0.007,0.014,0.010,0.005,0.056,0.082,0.017,0.655,0.008,0.278,1.527,0.028,0.477,0.469
Units,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
