Sample ID,KWKAPE-1,KWKAPE-2,KWKAPE-3,KWTHAL-1,MCELBI-2,MCKAPE-1,MCKAPE-2,MCKAPE-3,MCKAPE-4,MATHAL-1,MATHAL-2,MATHAL-4,MATHAL-5,MATHAL-8A,UTTHAL-1A,UTTHAL-2A,UTTHAL-3A,UTTHAL-4A,ROGYUN-1A,EBCHSO-1,EBVALO-2,EBVALO-3,JAEPPO-1,KWCHSO-1,UTCHSO-1,UTEPPO-1,WOCHSO-2,WOEPPO-1,JALUGI-4,JALUGI-5,KWLUGI-1,KWLUGI-2,KWEPPO-1,KWEPPO-2,EBNALI-1,EBCHMI-2,MCLUGI-8,UTEPPO-5,UTEPPO-7,WOLUGI-1,WOEPPO-2,MALUGI-2,MALUGI-4,MANALI-2,MAEPPO-2,MACHSO-1,MACHSO-3,MAACTR-1,MAACTR-3,MAACTR-4,ROLUGI-3,ROVALO-5,ROCHSO-3,UTNALI-5,JANALI-1,JANALI-2,JANALI-4,KWLUGI-5,KWCHSO-5,EBLUGI-3,EBLUGI-5,EBLUGI-6,EBVALO-1,MCLUGI-3,WOLUGI-3,WOCHSO-6,MCEPPO-3,MCEPPO-5,ROVALO-3,UTSASP-7,UTNALI-4,JAEPPO-4,EBLUGI-10,EBNALI-3,UTCHSO-3,UTACTR-6,UTACTR-9,WOLUGI-2,WONALI-1,WONALI-3,MALUGI-1,MANALI-4,MAEPPO-5,MACHSO-4,RONALI-1,RONALI-2,ROACTR-10,ROACTR-8,UTLUGI-1,UTNALI-1,WOACTR-1,JAGYUN-1,JAGYUN-2,JATHAL-3,JATHAL-2,JATHAL-1,MCLUGI-2,JACHMI-2,KWEPPO-3,KWNALI-5,KWNALI-6,EBPLLA-1,EBCHMI-1 ,MCLUGI-5,WOACTR-1,JALUGI-6,JAEPPO-10,JAACLI-7,JAACLI-8,JAACLI-9,KWCHSO-3,KWNALI-2,EBNALI-2,MCLUGI-9,UTCHSO-2,UTACTR-7,WONALI-6,WOEPPO-3,WOCHSO-3,WOACTR-4,ROLUGI-1,ROLUGI-5,RONALI-10,ROCHSO-2,ROCHSO-8,ROACTR-7,UTLUGI-2,JACHMI-6,JAHILO-2,MCEPPO-1,MANALI-1,MAEPPO-1,EBLUBO-1,EBCHSO-2,MCEPPO-2,ROEPPO-1
Species,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Thunnus albacares,Elagatis bipinnulata,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,Gymnosarda unicolor,Chlorurus sordidus,Variola louti,Variola louti,Epinephelus polyphekadion,Chlorurus sordidus,Chlorurus sordidus,Epinephelus polyphekadion,Chlorurus sordidus,Epinephelus polyphekadion,Lutjanus gibbus,Lutjanus gibbus,Lutjanus gibbus,Lutjanus gibbus,Epinephelus polyphekadion,Epinephelus polyphekadion,Naso lituratus,Chlorurus microrhinos,Lutjanus gibbus,Epinephelus polyphekadion,Epinephelus polyphekadion,Lutjanus gibbus,Epinephelus polyphekadion,Lutjanus gibbus,Lutjanus gibbus,Naso lituratus,Epinephelus polyphekadion,Chlorurus sordidus,Chlorurus sordidus,Acanthurus triostegus,Acanthurus triostegus,Acanthurus triostegus,Lutjanus gibbus,Variola louti,Chlorurus sordidus,Naso lituratus,Naso lituratus,Naso lituratus,Naso lituratus,Lutjanus gibbus,Chlorurus sordidus,Lutjanus gibbus,Lutjanus gibbus,Lutjanus gibbus,Variola louti,Lutjanus gibbus,Lutjanus gibbus,Chlorurus sordidus,Epinephelus polyphekadion,Epinephelus polyphekadion,Variola louti,Sargocentron spiniferum,Naso lituratus,Epinephelus polyphekadion,Lutjanus gibbus,Naso lituratus,Chlorurus sordidus,Acanthurus triostegus,Acanthurus triostegus,Lutjanus gibbus,Naso lituratus,Naso lituratus,Lutjanus gibbus,Naso lituratus,Epinephelus polyphekadion,Chlorurus sordidus,Naso lituratus,Naso lituratus,Acanthurus triostegus,Acanthurus triostegus,Lutjanus gibbus,Naso lituratus,Acanthurus triostegus,Gymnosarda unicolor,Gymnosarda unicolor,Thunnus albacares,Thunnus albacares,Thunnus albacares,Lutjanus gibbus,Chlorurus microrhinos,Epinephelus polyphekadion,Naso lituratus,Naso lituratus,Plectropomus laevis,Chlorurus microrhinos,Lutjanus gibbus,Acanthurus triostegus,Lutjanus gibbus,Epinephelus polyphekadion,Acanthurus lineatus,Acanthurus lineatus,Acanthurus lineatus,Chlorurus sordidus,Naso lituratus,Naso lituratus,Lutjanus gibbus,Chlorurus sordidus,Acanthurus triostegus,Naso lituratus,Epinephelus polyphekadion,Chlorurus sordidus,Acanthurus triostegus,Lutjanus gibbus,Lutjanus gibbus,Naso lituratus,Chlorurus sordidus,Chlorurus sordidus,Acanthurus triostegus,Lutjanus gibbus,Chlorurus microrhinos,Hipposcarus longiceps,Epinephelus polyphekadion,Naso lituratus,Epinephelus polyphekadion,Lutjanus bohar,Chlorurus sordidus,Epinephelus polyphekadion,Epinephelus polyphekadion
As,8.2,9.08,5.94,8.85,2.62,9.34,5.72,8.78,7.91,7.4,5.14,5.42,4.44,3.7,7.92,5.2,5.43,5.77,2.89,4.29,2.77,2.84,17.84,2.46,3.22,22.79,2.58,16.54,4.17,3.1,3.76,8.85,123.85,143.43,5.2,3.45,3.73,33.08,156.6,11.45,73.18,16.13,12.35,6.59,42.56,5.1,5.2,1.84,1.79,1.97,9.86,1.58,3.08,0.97,3.38,2.08,1.81,2.81,3.19,2.83,2.67,5.56,2.63,1.58,15.25,4.25,26.35,18.84,0.89,7.16,1.28,10.51,5.97,2.68,3.96,1.12,1.07,6.47,4.82,2.74,19.27,4.21,11.75,5.89,4.04,3.22,1.41,1.43,7.36,1.61,1.5,2.28,2.97,5.96,8.02,5.32,2.96,2.82,40,3.47,3.69,3.93,3.15,11.11,1.95,20.31,145.91,3.21,1.73,1.78,2.54,1.79,1.81,2.37,3.9,1.35,3.17,78.1,3.32,1.35,6.97,5.89,4.61,2.32,1.23,1.18,7.58,2.38,2.9,21.41,2.49,43.89,5.35,3.95,34.81,15.99
As_Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd,0.0355,0.0685,0.0645,0.023,0.0269,0.0386,0.0332,0.0316,0.161,0.0295,0.0575,0.0158,0.0211,0.0161,0.0345,0.0281,0.0302,0.032,0.0103,0.3545,0.0506,0.1739,0.1277,0.1067,0.6955,0.1607,0.1011,0.0362,0.2979,0.1406,0.2053,0.1515,0.0664,0.1442,0.2402,0.3428,0.4674,0.1291,0.1771,0.0686,0.0687,0.1244,0.0135,0.0548,0.0453,0.0313,0.4591,0.1704,0.0553,0.2843,0.2257,0.0116,0.1274,0.168,0.0387,1.05,0.1095,0.1745,0.0736,0.1139,0.5034,0.1114,0.1094,0.3266,0.0411,0.1794,0.2122,0.2137,0.0213,1.5384,0.8599,0.0433,0.4663,0.1903,0.1328,0.0767,0.0553,0.2693,0.0944,1.026,0.0326,0.0239,0.0212,0.0809,0.2958,0.2771,0.1696,0.1965,0.0287,0.296,0.0715,0.0071,0.0338,0.0179,0.0275,0.0268,0.4148,0.4072,0.0506,0.0693,0.0436,0.1739,0.2371,0.3712,0.0354,0.18,0.2903,0.0928,0.1218,0.113,0.1239,0.1564,0.669,0.5606,0.111,0.1037,0.0765,0.029,0.1791,0.0821,0.0429,0.0398,0.0559,0.1938,0.0199,0.0183,0.0768,1.1419,0.4378,0.4573,0.0517,0.0172,0.5914,1.15,0.3197,0.589
Cd_Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr,0.715,0.894,0.208,0.278,2.223,2.175,0.229,0.412,0.962,0.138,0.103,0.069,0.127,0.356,0.402,0.678,0.139,1.229,0.068,1.164,1.602,0.862,0.892,0.812,1.322,0.504,1.066,0.727,0.68,0.526,0.988,1.125,1.531,2.125,0.146,1.214,1.426,1.594,1.452,0.714,0.672,12.118,2.582,0.132,1.921,0.863,3.953,0.133,0.101,0.148,0.884,0.822,1.282,0.161,0.203,0.214,0.28,1.163,1.764,1.456,1.646,1.027,2.694,1.091,2.447,1.407,1.259,0.946,2.856,1.546,0.205,1.732,1.045,0.159,1.106,0.195,0.169,0.893,0.281,0.912,1.191,0.25,0.683,1.666,0.738,0.491,0.243,0.14,0.338,0.16,0.158,0.168,0.26,0.368,1.546,2.468,3.435,1.308,1.446,0.081,0.087,0.323,1.232,1.514,0.153,1.077,0.652,0.738,0.142,0.255,1.009,0.126,0.132,0.866,0.607,0.098,0.135,0.248,0.795,0.139,0.12,0.069,0.118,2.015,0.164,0.152,0.196,1.429,1.788,1.631,0.078,2.263,0.48,0.69,0.552,1.141
Cr_Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu,4.28,3.12,2.28,2.31,1.15,3.63,4.1,3.78,4.34,3.05,1.94,1.74,2.5,1.53,3.28,1.83,2.23,1.74,1.16,1.2,0.78,1.31,1.33,0.98,1.71,1.04,1.06,0.73,0.97,0.71,0.84,0.87,1.19,2.8,1.16,1.43,1.17,1.29,2.08,1.11,1.76,1.09,1.04,1.24,1.48,1.66,1.75,0.95,0.86,1.27,0.97,0.78,1.36,1.42,1.38,0.97,0.74,0.58,1.35,1.28,1.11,0.76,0.73,1.06,0.99,1.19,1.27,1.75,0.63,1.84,1.65,1.36,1.14,1.05,1.6,0.66,0.77,1.13,0.89,1.45,1.21,0.91,1.77,1.02,1.25,1.14,1.04,0.89,0.79,0.81,0.84,0.79,0.89,2.29,2.25,2.94,1.01,1.25,0.97,0.51,0.5,3.1,1.21,1.22,1.31,1.15,2.43,0.86,0.74,0.95,1.63,0.81,0.92,1.16,1.27,0.88,0.74,0.46,0.95,0.96,0.91,0.93,0.92,1.33,1.03,0.98,0.78,1.81,1.06,3.18,1.06,1.02,4.51,1.52,2.44,1.14
Cu_Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn,0.569,0.478,0.32,0.549,0.455,0.515,0.499,0.455,0.532,0.448,0.27,0.441,0.555,0.257,0.42,0.355,0.317,0.423,0.244,6.458,1.506,0.831,0.778,4.005,6.793,1.076,5.118,0.607,0.523,0.467,0.701,0.326,0.923,1.864,0.293,4.413,0.635,0.944,0.711,0.379,0.835,1.148,0.465,0.294,0.65,3.204,3.81,1.733,1.14,0.909,0.679,1.748,7.093,0.257,0.262,0.296,0.265,0.698,4.134,0.942,0.715,0.513,1.358,0.715,0.74,4.539,1.361,1.117,1.6,0.835,0.408,1.167,0.619,0.31,5.793,0.794,2.062,0.518,0.206,0.321,0.636,0.461,0.974,3.214,0.314,0.326,3.313,2.655,1.002,0.302,1.034,0.194,0.177,0.345,0.363,0.511,0.945,2.841,0.666,0.108,0.172,0.23,4.014,0.867,1.39,0.977,0.723,0.996,1.119,1.822,5.483,0.407,0.445,0.669,3.338,1.796,0.275,0.216,2.693,1.09,0.592,0.424,0.239,8.462,2.649,2.602,0.751,8.156,3.345,1.216,0.212,0.87,0.304,4.301,0.92,0.884
Mn_Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni,0.163,0.15,0.145,0.143,0.162,0.154,0.149,0.136,0.14,0.157,0.133,0.152,0.148,0.144,0.144,0.222,0.146,0.15,0.145,1.518,0.522,0.186,0.354,0.304,0.573,0.306,0.695,0.355,0.274,0.351,0.347,0.333,0.498,0.588,0.538,1.048,0.671,0.428,0.323,0.341,0.328,0.851,1.187,0.142,0.302,0.91,0.732,0.265,0.212,0.234,0.506,0.324,0.731,0.222,0.163,0.671,0.328,0.473,0.932,0.449,0.419,0.528,0.352,0.395,0.649,0.798,0.399,0.43,0.45,0.462,0.481,0.369,0.376,0.614,0.854,0.306,0.38,0.376,0.196,0.453,0.706,0.228,0.308,0.309,0.642,0.334,0.552,0.335,0.219,0.694,0.299,0.142,0.153,0.145,0.146,0.138,0.464,0.704,0.318,0.108,0.13,0.529,1.031,0.481,0.328,0.291,0.296,0.235,0.256,0.276,0.544,0.401,0.711,0.524,0.441,0.234,0.258,0.102,0.375,0.271,0.244,0.153,0.3,0.643,0.357,0.396,0.258,1.686,0.329,0.576,0.149,0.275,0.912,0.722,0.264,0.332
Ni_Flag,,J,J,J,J,J,J,J,J,,J,J,J,J,J,,J,J,J,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,J,J,J,J,,,,J,J,,,,,,,,,,,,,,,,,J,,,,J,,,,,,,,,J,,,,,
Pb,0.032,0.046,0.036,0.039,0.041,0.038,0.037,0.034,0.035,0.033,0.033,0.038,0.037,0.036,0.036,0.036,0.036,0.064,0.036,0.04,0.045,0.037,0.038,0.074,0.037,0.039,0.073,0.035,0.038,0.035,0.035,0.036,0.038,0.039,0.037,0.039,0.09,0.039,0.037,0.046,0.037,0.041,0.04,0.036,0.041,0.082,0.061,1.289,0.517,0.886,0.121,0.041,0.149,0.031,0.041,0.245,0.043,0.033,0.134,0.034,0.039,0.032,0.035,0.037,0.527,0.05,0.131,0.139,0.037,0.041,0.037,0.063,0.035,0.039,0.103,0.131,0.578,0.04,0.031,0.038,0.038,0.031,0.037,0.041,0.043,0.078,1.335,0.666,0.064,0.036,0.339,0.036,0.038,0.036,0.037,0.035,0.039,0.037,0.041,0.027,0.032,0.05,0.044,0.04,0.486,0.039,0.04,0.082,0.244,0.292,0.184,0.038,0.037,0.039,0.112,0.159,0.067,0.227,0.091,0.608,0.165,0.048,0.038,0.162,0.258,0.254,0.429,0.094,0.061,0.039,0.037,0.041,0.037,0.034,0.038,0.042
Pb_Flag,J,,J,,J,J,J,J,J,J,J,J,J,J,J,J,J,,J,J,,J,J,,J,J,,J,J,J,J,J,J,J,J,J,,J,J,,J,J,J,J,J,,,,,,,J,,J,J,,J,J,,J,J,J,J,J,,,,,J,,J,,J,J,,,,J,J,J,J,J,J,J,,,,,,J,,J,J,J,J,J,J,J,J,J,J,,,J,,J,,,,,,J,J,J,,,,,,,,,J,,,,,,,J,J,J,J,J,J,J
